<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VOW3-TDG,60,20220701,100000,126.4000000,126.8800000,126.0000000,126.6800000,4276
VOW3-TDG,60,20220701,110000,126.6800000,128.0000000,125.0400000,127.3800000,11454
VOW3-TDG,60,20220701,120000,127.5400000,128.8800000,126.8600000,128.5400000,10108
VOW3-TDG,60,20220701,130000,128.6400000,129.0800000,128.3600000,128.7600000,7621
VOW3-TDG,60,20220701,140000,128.7200000,128.7800000,127.1400000,127.1400000,7266
VOW3-TDG,60,20220701,150000,127.4400000,127.9600000,127.0000000,127.1200000,4373
VOW3-TDG,60,20220701,160000,127.0200000,127.5000000,126.7600000,127.0400000,7978
VOW3-TDG,60,20220701,170000,127.2800000,129.1400000,127.0000000,128.7200000,6774
VOW3-TDG,60,20220701,180000,128.7800000,128.7800000,126.8000000,127.3400000,3780
VOW3-TDG,60,20220701,190000,127.3400000,127.8600000,127.2600000,127.3000000,2176
VOW3-TDG,60,20220701,200000,127.6200000,128.3600000,127.0200000,128.1400000,2386
VOW3-TDG,60,20220701,210000,128.1400000,128.3600000,127.7600000,128.1600000,2270
VOW3-TDG,60,20220701,220000,128.1600000,128.9600000,128.1600000,128.9600000,3410
VOW3-TDG,60,20220701,230000,128.9600000,129.2200000,128.6200000,128.6200000,3851
VOW3-TDG,60,20220702,000000,128.7800000,128.7800000,128.7800000,128.7800000,2
VOW3-TDG,60,20220704,100000,129.1400000,129.3800000,128.4000000,129.3800000,6585
VOW3-TDG,60,20220704,110000,129.2800000,129.3400000,126.3000000,126.7400000,9086
VOW3-TDG,60,20220704,120000,126.8400000,126.8400000,126.0000000,126.6600000,3950
VOW3-TDG,60,20220704,130000,126.4400000,128.1600000,126.3400000,128.0200000,5259
VOW3-TDG,60,20220704,140000,128.0200000,128.0200000,127.0000000,127.1800000,2412
VOW3-TDG,60,20220704,150000,127.3800000,127.8400000,126.8600000,127.8400000,2119
VOW3-TDG,60,20220704,160000,127.7200000,127.8200000,127.2600000,127.4000000,2484
VOW3-TDG,60,20220704,170000,127.4800000,127.5200000,126.9200000,126.9400000,4169
VOW3-TDG,60,20220704,180000,126.9000000,126.9000000,126.1600000,126.6200000,3381
VOW3-TDG,60,20220704,190000,126.7600000,127.5600000,126.7600000,127.2600000,3343
VOW3-TDG,60,20220704,200000,127.0000000,127.3200000,127.0000000,127.3200000,843
VOW3-TDG,60,20220704,210000,127.3200000,127.3600000,127.0200000,127.3600000,684
VOW3-TDG,60,20220704,220000,127.0200000,127.3800000,127.0200000,127.1400000,411
VOW3-TDG,60,20220704,230000,127.0200000,127.3200000,126.7600000,126.7600000,1989
VOW3-TDG,60,20220705,000000,127.1400000,127.1400000,127.1400000,127.1400000,2
VOW3-TDG,60,20220705,100000,127.8800000,128.4000000,127.3000000,128.4000000,2963
VOW3-TDG,60,20220705,110000,128.0000000,128.3400000,126.2000000,126.2000000,5257
VOW3-TDG,60,20220705,120000,126.2000000,126.4400000,124.7000000,124.7400000,19766
VOW3-TDG,60,20220705,130000,124.8600000,125.0200000,124.0000000,124.5800000,9320
VOW3-TDG,60,20220705,140000,124.7000000,125.5800000,124.4400000,124.9800000,11546
VOW3-TDG,60,20220705,150000,125.1400000,125.1400000,123.0200000,123.0600000,7837
VOW3-TDG,60,20220705,160000,123.0400000,123.0600000,121.2000000,121.7800000,12283
VOW3-TDG,60,20220705,170000,121.7800000,122.1000000,121.1200000,121.6800000,12109
VOW3-TDG,60,20220705,180000,121.5800000,122.2000000,121.0800000,121.2800000,8674
VOW3-TDG,60,20220705,190000,121.2400000,121.5800000,120.6000000,121.5000000,7596
VOW3-TDG,60,20220705,200000,121.5000000,121.9400000,120.9000000,121.6000000,2344
VOW3-TDG,60,20220705,210000,121.6000000,122.4000000,121.3200000,122.0000000,3682
VOW3-TDG,60,20220705,220000,122.0000000,122.5000000,121.9400000,122.1600000,976
VOW3-TDG,60,20220705,230000,122.5000000,122.5400000,122.1200000,122.5000000,2959
VOW3-TDG,60,20220706,000000,122.3800000,122.3800000,122.3800000,122.3800000,2
VOW3-TDG,60,20220706,100000,121.9800000,122.5000000,121.5600000,121.7000000,9916
VOW3-TDG,60,20220706,110000,122.4800000,124.0000000,122.1400000,122.4800000,11388
VOW3-TDG,60,20220706,120000,122.5200000,123.1200000,121.6200000,121.9400000,4314
VOW3-TDG,60,20220706,130000,121.8200000,122.6600000,121.4000000,122.3600000,4288
VOW3-TDG,60,20220706,140000,122.3200000,122.8600000,122.0800000,122.3000000,5883
