<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.NVDA-RM:TQBD,60,20220120,000000,252.0400000,252.0400000,252.0400000,252.0400000,7
MOEX.NVDA-RM:TQBD,60,20220120,110000,252.3500000,252.3500000,252.3500000,252.3500000,3
MOEX.NVDA-RM:TQBD,60,20220120,150000,253.8500000,253.8500000,253.8500000,253.8500000,10
MOEX.NVDA-RM:TQBD,60,20220120,160000,253.0000000,253.0000000,253.0000000,253.0000000,100
MOEX.NVDA-RM:TQBD,60,20220120,180000,252.7300000,252.7300000,252.7300000,252.7300000,25
MOEX.NVDA-RM:TQBD,60,20220120,190000,252.3700000,254.4800000,252.3700000,254.4800000,27
MOEX.NVDA-RM:TQBD,60,20220120,200000,254.4200000,254.4200000,253.5900000,253.5900000,2
MOEX.NVDA-RM:TQBD,60,20220120,220000,253.1400000,253.1400000,252.7800000,252.7800000,2
MOEX.NVDA-RM:TQBD,60,20220121,000000,243.0000000,243.0000000,243.0000000,243.0000000,5
MOEX.NVDA-RM:TQBD,60,20220121,080000,235.9000000,236.3700000,235.9000000,236.3700000,50
MOEX.NVDA-RM:TQBD,60,20220121,090000,236.8800000,236.8800000,236.8800000,236.8800000,1
MOEX.NVDA-RM:TQBD,60,20220121,100000,237.7000000,237.7000000,237.1500000,237.1500000,150
MOEX.NVDA-RM:TQBD,60,20220121,110000,236.3700000,236.3700000,236.3700000,236.3700000,1
MOEX.NVDA-RM:TQBD,60,20220121,120000,236.6700000,236.6700000,236.1100000,236.1100000,2
MOEX.NVDA-RM:TQBD,60,20220121,130000,236.7600000,236.7600000,236.7600000,236.7600000,1
MOEX.NVDA-RM:TQBD,60,20220121,140000,238.7400000,238.7400000,238.7400000,238.7400000,1
MOEX.NVDA-RM:TQBD,60,20220121,160000,236.0000000,236.0000000,236.0000000,236.0000000,10
MOEX.NVDA-RM:TQBD,60,20220121,180000,235.0000000,239.3200000,235.0000000,239.0000000,4
MOEX.NVDA-RM:TQBD,60,20220121,190000,236.4000000,242.1600000,234.0000000,240.8800000,8
MOEX.NVDA-RM:TQBD,60,20220121,200000,240.9200000,245.9700000,240.4900000,240.4900000,11
MOEX.NVDA-RM:TQBD,60,20220121,210000,241.9400000,241.9400000,240.1500000,240.1500000,2
