<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20221006,060000,20388.0000000,20441.0000000,20302.0000000,20324.0000000,11
BTSX.BTC/USD,60,20221006,070000,20329.0000000,20393.0000000,20283.0000000,20366.0000000,4
BTSX.BTC/USD,60,20221006,080000,20361.0000000,20447.0000000,20327.0000000,20360.0000000,13
BTSX.BTC/USD,60,20221006,090000,20362.0000000,20371.0000000,20258.0000000,20316.0000000,8
BTSX.BTC/USD,60,20221006,100000,20300.0000000,20300.0000000,20172.0000000,20180.0000000,21
BTSX.BTC/USD,60,20221006,110000,20185.0000000,20252.0000000,20162.0000000,20224.0000000,7
BTSX.BTC/USD,60,20221006,120000,20218.0000000,20254.0000000,20114.0000000,20144.0000000,20
BTSX.BTC/USD,60,20221006,130000,20141.0000000,20187.0000000,20097.0000000,20103.0000000,15
BTSX.BTC/USD,60,20221006,140000,20095.0000000,20160.0000000,20093.0000000,20128.0000000,2
BTSX.BTC/USD,60,20221006,150000,20142.0000000,20256.0000000,20129.0000000,20246.0000000,36
BTSX.BTC/USD,60,20221006,160000,20250.0000000,20326.0000000,20172.0000000,20193.0000000,47
BTSX.BTC/USD,60,20221006,170000,20200.0000000,20302.0000000,20049.0000000,20115.0000000,35
BTSX.BTC/USD,60,20221006,180000,20102.0000000,20109.0000000,19881.0000000,20107.0000000,79
BTSX.BTC/USD,60,20221006,190000,20110.0000000,20120.0000000,19998.0000000,20018.0000000,17
BTSX.BTC/USD,60,20221006,200000,20010.0000000,20110.0000000,19955.0000000,20061.0000000,23
BTSX.BTC/USD,60,20221006,210000,20065.0000000,20269.0000000,20023.0000000,20123.0000000,30
BTSX.BTC/USD,60,20221006,220000,20116.0000000,20116.0000000,19991.0000000,20017.0000000,12
BTSX.BTC/USD,60,20221006,230000,20018.0000000,20065.0000000,19998.0000000,20019.0000000,3
BTSX.BTC/USD,60,20221007,000000,20017.0000000,20072.0000000,19999.0000000,20054.0000000,34
BTSX.BTC/USD,60,20221007,010000,20053.0000000,20053.0000000,19897.0000000,19915.0000000,42
BTSX.BTC/USD,60,20221007,020000,19912.0000000,19950.0000000,19864.0000000,19896.0000000,77
BTSX.BTC/USD,60,20221007,030000,19899.0000000,19972.0000000,19877.0000000,19951.0000000,89
BTSX.BTC/USD,60,20221007,040000,19960.0000000,20048.0000000,19947.0000000,20000.0000000,34
BTSX.BTC/USD,60,20221007,050000,19993.0000000,20023.0000000,19969.0000000,19998.0000000,3
BTSX.BTC/USD,60,20221007,060000,20003.0000000,20053.0000000,19972.0000000,20021.0000000,1
BTSX.BTC/USD,60,20221007,070000,20026.0000000,20031.0000000,19982.0000000,19987.0000000,1
BTSX.BTC/USD,60,20221007,080000,19988.0000000,20014.0000000,19944.0000000,19947.0000000,2
BTSX.BTC/USD,60,20221007,090000,19945.0000000,19990.0000000,19918.0000000,19972.0000000,13
BTSX.BTC/USD,60,20221007,100000,19972.0000000,19983.0000000,19821.0000000,19848.0000000,63
BTSX.BTC/USD,60,20221007,110000,19858.0000000,19950.0000000,19844.0000000,19934.0000000,56
BTSX.BTC/USD,60,20221007,120000,19933.0000000,20015.0000000,19923.0000000,19976.0000000,6
BTSX.BTC/USD,60,20221007,130000,19975.0000000,20025.0000000,19966.0000000,19981.0000000,14
BTSX.BTC/USD,60,20221007,140000,19985.0000000,20001.0000000,19932.0000000,19998.0000000,6
BTSX.BTC/USD,60,20221007,150000,19999.0000000,20014.0000000,19963.0000000,20004.0000000,12
BTSX.BTC/USD,60,20221007,160000,20003.0000000,20056.0000000,19463.0000000,19622.0000000,269
BTSX.BTC/USD,60,20221007,170000,19613.0000000,19709.0000000,19512.0000000,19603.0000000,53
BTSX.BTC/USD,60,20221007,180000,19598.0000000,19700.0000000,19557.0000000,19647.0000000,8
BTSX.BTC/USD,60,20221007,190000,19648.0000000,19653.0000000,19536.0000000,19580.0000000,14
BTSX.BTC/USD,60,20221007,200000,19576.0000000,19607.0000000,19335.0000000,19405.0000000,83
BTSX.BTC/USD,60,20221007,210000,19387.0000000,19488.0000000,19373.0000000,19422.0000000,6
BTSX.BTC/USD,60,20221007,220000,19412.0000000,19478.0000000,19391.0000000,19460.0000000,29
BTSX.BTC/USD,60,20221007,230000,19462.0000000,19484.0000000,19415.0000000,19463.0000000,27
BTSX.BTC/USD,60,20221008,000000,19462.0000000,19569.0000000,19446.0000000,19551.0000000,18
BTSX.BTC/USD,60,20221008,010000,19548.0000000,19644.0000000,19531.0000000,19568.0000000,30
BTSX.BTC/USD,60,20221008,020000,19573.0000000,19602.0000000,19544.0000000,19553.0000000,8
BTSX.BTC/USD,60,20221008,030000,19552.0000000,19570.0000000,19513.0000000,19532.0000000,12
BTSX.BTC/USD,60,20221008,040000,19533.0000000,19624.0000000,19519.0000000,19570.0000000,5
BTSX.BTC/USD,60,20221008,050000,19571.0000000,19597.0000000,19546.0000000,19595.0000000,2
BTSX.BTC/USD,60,20221008,060000,19594.0000000,19601.0000000,19546.0000000,19561.0000000,4
BTSX.BTC/USD,60,20221008,070000,19562.0000000,19567.0000000,19497.0000000,19505.0000000,3
BTSX.BTC/USD,60,20221008,080000,19506.0000000,19522.0000000,19430.0000000,19443.0000000,4
BTSX.BTC/USD,60,20221008,090000,19447.0000000,19523.0000000,19440.0000000,19515.0000000,10
BTSX.BTC/USD,60,20221008,100000,19510.0000000,19538.0000000,19471.0000000,19520.0000000,0
BTSX.BTC/USD,60,20221008,110000,19516.0000000,19526.0000000,19496.0000000,19502.0000000,13
BTSX.BTC/USD,60,20221008,120000,19504.0000000,19519.0000000,19456.0000000,19472.0000000,9
BTSX.BTC/USD,60,20221008,130000,19478.0000000,19513.0000000,19477.0000000,19502.0000000,4
BTSX.BTC/USD,60,20221008,140000,19506.0000000,19525.0000000,19493.0000000,19505.0000000,2
BTSX.BTC/USD,60,20221008,150000,19505.0000000,19548.0000000,19492.0000000,19543.0000000,25
BTSX.BTC/USD,60,20221008,160000,19538.0000000,19544.0000000,19490.0000000,19520.0000000,0
BTSX.BTC/USD,60,20221008,170000,19518.0000000,19521.0000000,19477.0000000,19485.0000000,0
BTSX.BTC/USD,60,20221008,180000,19485.0000000,19504.0000000,19431.0000000,19503.0000000,2
BTSX.BTC/USD,60,20221008,190000,19503.0000000,19508.0000000,19467.0000000,19490.0000000,0
BTSX.BTC/USD,60,20221008,200000,19490.0000000,19538.0000000,19473.0000000,19532.0000000,0
BTSX.BTC/USD,60,20221008,210000,19535.0000000,19537.0000000,19485.0000000,19508.0000000,2
BTSX.BTC/USD,60,20221008,220000,19501.0000000,19517.0000000,19476.0000000,19488.0000000,1
BTSX.BTC/USD,60,20221008,230000,19486.0000000,19487.0000000,19444.0000000,19474.0000000,1
BTSX.BTC/USD,60,20221009,000000,19467.0000000,19483.0000000,19426.0000000,19458.0000000,6
BTSX.BTC/USD,60,20221009,010000,19455.0000000,19462.0000000,19259.0000000,19314.0000000,166
BTSX.BTC/USD,60,20221009,020000,19302.0000000,19374.0000000,19273.0000000,19365.0000000,15
BTSX.BTC/USD,60,20221009,030000,19363.0000000,19443.0000000,19363.0000000,19420.0000000,3
BTSX.BTC/USD,60,20221009,040000,19421.0000000,19454.0000000,19389.0000000,19403.0000000,0
BTSX.BTC/USD,60,20221009,050000,19390.0000000,19426.0000000,19369.0000000,19405.0000000,8
BTSX.BTC/USD,60,20221009,060000,19402.0000000,19418.0000000,19370.0000000,19370.0000000,4
BTSX.BTC/USD,60,20221009,070000,19370.0000000,19390.0000000,19331.0000000,19377.0000000,3
BTSX.BTC/USD,60,20221009,080000,19367.0000000,19389.0000000,19324.0000000,19389.0000000,2
BTSX.BTC/USD,60,20221009,090000,19387.0000000,19418.0000000,19383.0000000,19413.0000000,8
BTSX.BTC/USD,60,20221009,100000,19424.0000000,19438.0000000,19392.0000000,19426.0000000,3
BTSX.BTC/USD,60,20221009,110000,19430.0000000,19438.0000000,19404.0000000,19416.0000000,0
BTSX.BTC/USD,60,20221009,120000,19416.0000000,19436.0000000,19379.0000000,19396.0000000,0
