<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NFLX-RM,60,20220113,090000,40105.0000000,40105.0000000,40105.0000000,40105.0000000,2
NFLX-RM,60,20220113,100000,40136.0000000,40136.0000000,40063.0000000,40063.0000000,7
NFLX-RM,60,20220113,110000,39970.0000000,39990.0000000,39841.0000000,39990.0000000,67
NFLX-RM,60,20220113,120000,39919.0000000,40059.0000000,39899.0000000,40037.0000000,19
NFLX-RM,60,20220113,130000,40027.0000000,40098.0000000,40027.0000000,40098.0000000,28
NFLX-RM,60,20220113,140000,40177.0000000,40243.0000000,40177.0000000,40205.0000000,13
NFLX-RM,60,20220113,150000,40247.0000000,40355.0000000,40247.0000000,40355.0000000,48
NFLX-RM,60,20220113,160000,40462.0000000,40679.0000000,40459.0000000,40679.0000000,66
NFLX-RM,60,20220113,170000,40678.0000000,40678.0000000,40486.0000000,40599.0000000,12
NFLX-RM,60,20220113,180000,40628.0000000,41000.0000000,40368.0000000,40640.0000000,126
NFLX-RM,60,20220113,190000,40640.0000000,40858.0000000,40205.0000000,40544.0000000,95
NFLX-RM,60,20220113,200000,40518.0000000,40766.0000000,40214.0000000,40214.0000000,32
NFLX-RM,60,20220113,210000,40205.0000000,40205.0000000,39841.0000000,39877.0000000,122
NFLX-RM,60,20220113,220000,39850.0000000,39999.0000000,39850.0000000,39928.0000000,42
NFLX-RM,60,20220113,230000,40003.0000000,40059.0000000,39862.0000000,39866.0000000,37
NFLX-RM,60,20220114,000000,39800.0000000,39801.0000000,39680.0000000,39680.0000000,21
NFLX-RM,60,20220114,080000,39712.0000000,39712.0000000,39658.0000000,39658.0000000,3
NFLX-RM,60,20220114,090000,39666.0000000,39725.0000000,39609.0000000,39725.0000000,6
NFLX-RM,60,20220114,100000,39665.0000000,39730.0000000,39560.0000000,39560.0000000,24
NFLX-RM,60,20220114,110000,39424.0000000,39424.0000000,39392.0000000,39392.0000000,17
NFLX-RM,60,20220114,120000,39400.0000000,39622.0000000,39392.0000000,39470.0000000,99
